"
Employer

","
Job Location
","
Rank or Title
",Specialty,"
Deadline

","
Date Posted
▽

",Application Status
"
Wolfson College, University of Oxford
","
United Kingdom
: Oxford
","
Post Doc 
","
General Linguistics
","
11-Jun-2014
","
31-May-2014
","
closed
"
"
University of Konstanz
","
Germany
: Konstanz Baden Württemberg
","
Post Doc 
","
General Linguistics;
Phonetics;
Pragmatics;
Semantics 
","
30-Jun-2014
","
30-May-2014
","
closed
"
"
City University of Hong Kong
","
Hong Kong
: Kowloon Tong
","
Chair of Department 
","
General Linguistics
","
30-Jun-2014
","
29-May-2014
","
closed
"
"
City University of Hong Kong
","
Hong Kong
: Kowloon Tong
","
Professor 
","
General Linguistics
","
30-Jun-2014
","
29-May-2014
","
closed
"
"
The University of Queensland
","
Australia
: Brisbane, Queensland
","
Lecturer 
","
General Linguistics;
Language Documentation;
Morphology;
Syntax 
","
07-Jun-2014
","
28-May-2014
","
closed
"
"
Syracuse University
","
USA
: New York
","
Assistant Professor 
","
Morphology;
Phonology;
Syntax
","
27-Jun-2014
","
28-May-2014
","
closed
"
"
Lionbridge
","
Finland
: Tampere
","

Computational Linguist
","
Computational Linguistics;
Phonetics;
Chinese, Yue
","
10-Jun-2014
","
28-May-2014
","
closed
"
"
The University of Sheffield
","
United Kingdom
: Sheffield
","

Senior Lecturer (equivalent to tenured Associate Professor)
","
Applied Linguistics;
English
","
16-Jun-2014
","
26-May-2014
","
closed
"
"
University of Surrey
","
United Kingdom
: Guildford
","
Lecturer 
","
General Linguistics
","
16-Jun-2014
","
25-May-2014
","
closed
"
"
Georgetown University
","
USA
: District of Columbia
","
Post Doc 
","
Applied Linguistics;
Sociolinguistics
","
06-Jun-2014
","
25-May-2014
","
closed
"
"
Hofstra University
","
USA
: New York
","
Assistant Professor 
Special Assistant Professor
","
Applied Linguistics
","
(Open until filled)
","
25-May-2014
","
closed
"
"
Google
","
United Kingdom
: London
","

Speech Data Evaluator
","
Computational Linguistics;
Phonetics;
English;
German; 
Spanish
","
(Open until filled)
","
23-May-2014
","
closed
"
"
Google
","
Sweden
: Stockholm
","

Speech Data Evaluator
","
Computational Linguistics;
Phonetics;
Norwegian Bokmål;
Swedish 
","
(Open until filled)
","
23-May-2014
","
closed
"
"
UQTR (Université du Québec à Trois-Rivières)
","
Canada
: Trois Rivieres
","
Teacher 
","
Applied Linguistics;
English
","
04-Jun-2014
","
23-May-2014
","
closed
"
"
The University of Arizona
","
USA
: Arizona
","
Post Doc 
","
Computational Linguistics;
Neurolinguistics
","
(Open until filled)
","
23-May-2014
","
closed
"
"
University of Cambridge
","
United Kingdom
: Cambridge
","
Post Doc 
","
Computational Linguistics;
Text/Corpus Linguistics
","
13-Jun-2014
","
23-May-2014
","
closed
"
"
University of Gothenburg
","
Sweden
: Gothenburg
","
Post Doc 
","
General Linguistics;
Russian;
Slavic
","
12-Jun-2014
","
21-May-2014
","
closed
"
"
University of Gothenburg
","
Sweden
: Gothenburg
","
Post Doc 
","
General Linguistics;
Japanese
","
12-Jun-2014
","
21-May-2014
","
closed
"
"
University of Gothenburg
","
Sweden
: Gothenburg
","
Senior Lecturer 
","
General Linguistics;
Japanese
","
12-Jun-2014
","
21-May-2014
","
closed
"
"
College of William and Mary
","
USA
: Virginia
","
Lecturer 
","
Psycholinguistics
","
06-Jun-2014
","
20-May-2014
","
closed
"
"
Penn State University
","
USA
: Pennsylvania
","

Research Assistant
","
Psycholinguistics;
Neurolinguistics
","
(Open until filled)
","
20-May-2014
","
closed
"
"
University of Hamburg
","
Germany
: Hamburg
","
Researcher 
","
General Linguistics;
English
","
14-Jun-2014
","
20-May-2014
","
closed
"
"
University of Hamburg
","
Germany
: Hamburg
","
Lecturer 
","
General Linguistics;
English
","
14-Jun-2014
","
20-May-2014
","
closed
"
"
University of Luxembourg
","
Luxembourg
: Walferdange
","
Post Doc 
","
Sociolinguistics;
Text/Corpus Linguistics;
Luxembourgish
","
27-Jun-2014
","
20-May-2014
","
closed
"
"
University of Maryland, College Park
","
USA
: Maryland
","

Executive Director
","
General Linguistics
","
08-Jun-2014
","
16-May-2014
","
closed
"
"
Appen
","
----------------
","
Consultant 
","
Computational Linguistics;
Phonetics;
Chinese, Mandarin;
French; 
Polish
","
(Open until filled)
","
15-May-2014
","
closed
"
"
Universität Bielefeld
","
Germany
: Bielefeld
","
Lecturer 
","
General Linguistics
","
02-Jun-2014
","
15-May-2014
","
closed
"
"
Newcastle University, UK
","
United Kingdom
: Newcastle upon Tyne
","
Lecturer 
","
General Linguistics;
Historical Linguistics;
English
","
05-Jun-2014
","
15-May-2014
","
closed
"
"
AECOM
","
USA
: Maryland
","

Linguist
","
General Linguistics;
Morphology;
Translation;
Lexicography; 
Twi;
Bambara;
Shona;
Yoruba 
","
(Open until filled)
","
15-May-2014
","
closed
"
"
University of Free State
","
South Africa
: Bloemfontein, Free State
","
Rank Open 
","
General Linguistics;
Language Acquisition;
Any Signed Language;
Deaf Culture; 
South African Sign Language
","
(Open until filled)
","
15-May-2014
","
closed
"
"
University of Saskatchewan, Canada
","
Canada
: Saskatoon, Saskatchewan
","
Instructor 
","
Applied Linguistics;
General Linguistics;
Phonetics;
Language Acquisition 
","
15-Jun-2014
","
15-May-2014
","
closed
"
"
University of Colorado-Boulder
","
USA
: Colorado
","
Researcher 
","
Computational Linguistics;
Language Documentation;
Text/Corpus Linguistics;
Natural Language Processing 
","
30-Jun-2014
","
15-May-2014
","
closed
"
"
Georg-August-Universität Göttingen
","
Germany
: Göttingen
","
Full Professor 
Junior Professor (Tenure Track)
","
Historical Linguistics;
Linguistic Theories;
Text/Corpus Linguistics;
German 
","
11-Jun-2014
","
15-May-2014
","
closed
"
"
Newcastle University, UK
","
United Kingdom
: Newcastle upon Tyne
","
Lecturer 
","
Phonology;
Text/Corpus Linguistics
","
05-Jun-2014
","
14-May-2014
","
closed
"
"
University of Oregon
","
USA
: Oregon
","
Instructor 
","
Applied Linguistics;
French
","
30-May-2014
","
14-May-2014
","
closed
"
"
Zukunftskolleg of the University of Konstanz
","
Germany
: Konstanz
","
Post Doc 
","
General Linguistics;
Discipline of Linguistics;
Germanic;
Romance; 
Slavic Subgroup;
New English
","
31-Aug-2014
","
12-May-2014
","
closed
"
"
Zukunftskolleg of the University of Konstanz
","
Germany
: Konstanz
","
Post Doc 
","
General Linguistics;
Discipline of Linguistics;
Germanic;
Romance; 
Slavic Subgroup;
New English
","
31-Aug-2014
","
12-May-2014
","
closed
"
"
Lionbridge
","
Finland
: Tampere
","

Linguist/Computational Linguist
","
Computational Linguistics;
Translation;
Natural Language Processing;
Hungarian; 
Korean
","
30-May-2014
","
12-May-2014
","
closed
"
"
Leapforce, Inc
","
Russia
: Moscow
","

Search Engine Evaluator
","
Text/Corpus Linguistics;
English;
Russian
","
(Open until filled)
","
09-May-2014
","
closed
"
"
Leiden University
","
Netherlands
: Leiden
","
Assistant Professor 
","
Applied Linguistics;
General Linguistics;
Portuguese
","
31-May-2014
","
09-May-2014
","
closed
"
"
Brigham Young University
","
USA
: Utah
","
Rank Open 
","
General Linguistics
","
15-Sep-2014
","
08-May-2014
","
closed
"
"
Esprit de Corps, Corporation
","
Germany
: Stuttgart
","

Analyst
","
Translation;
Arabic, Standard;
Arabic, Moroccan;
English; 
French;
Hassaniyya;
Tamasheq
","
(Open until filled)
","
08-May-2014
","
closed
"
"
The University of Sheffield
","
United Kingdom
: Sheffield
","
Lecturer 
","
Syntax;
Language Acquisition
","
12-May-2014
","
08-May-2014
","
closed
"
"
The University of Sheffield
","
United Kingdom
: Sheffield
","
Senior Lecturer 
","
Applied Linguistics
","
12-May-2014
","
08-May-2014
","
closed
"
"
Uppsala University
","
Sweden
: Uppsala
","
Full Professor 
","
Applied Linguistics;
General Linguistics;
Turkic
","
15-Aug-2014
","
07-May-2014
","
closed
"
"
The Chinese University of Hong Kong
","
Hong Kong
: Shatin, N.T.
","
Rank Open 
","
General Linguistics
","
(Open until filled)
","
06-May-2014
","
closed
"
"
INRIA
","
France
: Palaiseau, near Paris
","
Post Doc 
","
Computational Linguistics;
Semantics;
English;
French 
","
30-Jun-2014
","
06-May-2014
","
closed
"
"
University of Illinois at Urbana-Champaign
","
USA
: Illinois
","
Lecturer 
","
Translation;
Ling & Literature
","
(Open until filled)
","
04-May-2014
","
closed
"
"
University of Illinois at Urbana-Champaign
","
USA
: Illinois
","
Instructor 
","
Translation;
Ling & Literature
","
(Open until filled)
","
04-May-2014
","
closed
"
"
University of Illinois at Urbana-Champaign
","
USA
: Illinois
","
Lecturer 
","
Translation
","
(Open until filled)
","
04-May-2014
","
closed
"
"
University of Illinois at Urbana-Champaign
","
USA
: Illinois
","
Instructor 
","
Translation
","
(Open until filled)
","
04-May-2014
","
closed
"
"
International Center for Language Studies
","
USA
: District of Columbia
","

Program Coordinator
","
Applied Linguistics;
Asian and Middle Eastern Languages
","
(Open until filled)
","
02-May-2014
","
closed
"
"
McGill University
","
Canada
: Montreal, Quebec
","
Lecturer 
","
Phonetics;
Phonology
","
30-May-2014
","
02-May-2014
","
closed
"
"
Appen Inc.
","
USA
: Seattle, Washington
","

Linguist
","
Computational Linguistics;
General Linguistics;
French
","
(Open until filled)
","
02-May-2014
","
closed
"
"
Google
","
Sweden
: Stockholm
","

Speech Linguistic Project Manager
","
Computational Linguistics;
General Linguistics;
Norwegian Bokmål;
Swedish 
","
(Open until filled)
","
01-May-2014
","
closed
"
"
First Nations University of Canada
","
Canada
: Regina
","
Assistant Professor 
","
Applied Linguistics
","
23-May-2014
","
01-May-2014
","
closed
"
"
Google
","
USA
: California
","

Speech Data Evaluator
","
Computational Linguistics;
General Linguistics;
English
","
(Open until filled)
","
01-May-2014
","
closed
"
"
SOAS, University of London
","
United Kingdom
: London
","
Lecturer 
","
Applied Linguistics;
Translation;
Japanese
","
15-May-2014
","
01-May-2014
","
closed
"
"
Max Planck Institute for Evolutionary Anthropology
","
Germany
: Leipzig
","
Post Doc 
","
Historical Linguistics;
Phonetics;
Aymaran;
Quechuan; 
Germanic;
Romance;
Slavic
","
(Open until filled)
","
30-Apr-2014
","
closed
"
"
Max Planck Institute for Evolutionary Anthropology
","
Germany
: Leipzig
","
Researcher 
","
Historical Linguistics;
Phonetics;
Aymaran;
Quechuan; 
Germanic;
Romance;
Slavic
","
(Open until filled)
","
30-Apr-2014
","
closed
"
"
University of Ottawa
","
Canada
: Ontario
","
Assistant Professor 
","
Syntax
","
31-May-2014
","
30-Apr-2014
","
closed
"
"
University of Ottawa
","
Canada
: Ontario
","
Assistant Professor 
","
Phonology
","
31-May-2014
","
30-Apr-2014
","
closed
"
"
Studies in Second Language Acquisition (Cambridge University Press)
","
----------------
","

Journal Editor
","
Applied Linguistics
","
15-Jul-2014
","
29-Apr-2014
","
closed
"
"
Heinrich Heine University
","
Germany
: Duesseldorf
","
Post Doc 
","
Semantics;
Syntax
","
15-Jun-2014
","
29-Apr-2014
","
closed
"
"
Massachusetts Institute of Technology
","
USA
: Massachusetts
","
Manager 
","
Psycholinguistics;
Cognitive Science;
Language Acquisition
","
(Open until filled)
","
28-Apr-2014
","
closed
"
"
American University
","
USA
: District of Columbia
","

French Language Coordinator
","
General Linguistics;
Language Acquisition;
French
","
(Open until filled)
","
28-Apr-2014
","
closed
"
"
HarperCollins Publishers
","
United Kingdom
: Glasgow,Scotland
","

Product Support Developer
","
Computational Linguistics;
Text/Corpus Linguistics
","
(Open until filled)
","
25-Apr-2014
","
closed
"
"
National Taiwan University
","
Taiwan
: Taipei
","
Asst/Assoc Professor 
","
General Linguistics;
Cognitive Science
","
26-Jun-2014
","
25-Apr-2014
","
closed
"
"
National Taiwan University
","
Taiwan
: Taipei
","
Full Professor 
","
General Linguistics;
Cognitive Science
","
26-Jun-2014
","
25-Apr-2014
","
closed
"
"
Linguee GmbH
","
Germany
: Köln
","

Language Professionals
","
General Linguistics;
Text/Corpus Linguistics;
Lexicography;
English; 
French;
German;
Japanese;
Portuguese; 
Spanish
","
(Open until filled)
","
25-Apr-2014
","
closed
"
"
Nanyang Technological University
","
Singapore
: Singapore
","
Lecturer 
","
Applied Linguistics;
English
","
24-Jun-2014
","
24-Apr-2014
","
closed
"
"
Nanyang Technological University
","
Singapore
: Singapore
","
Asst/Assoc Professor 
","
Applied Linguistics;
English
","
24-Jun-2014
","
24-Apr-2014
","
closed
"
"
Institute of Linguistics, Academia Sinica
","
Taiwan
: Taipei
","
Researcher 
","
General Linguistics;
Historical Linguistics
","
31-May-2014
","
24-Apr-2014
","
closed
"
"
Ecole Normale Supérieure
","
France
: Paris
","
Assistant Professor 
Visiting Assistant Professor
","
General Linguistics
","
31-May-2014
","
24-Apr-2014
","
closed
"
"
Ecole Normale Supérieure
","
France
: Paris
","
Visiting Professor 
Visiting Assistant Professor
","
General Linguistics
","
31-May-2014
","
24-Apr-2014
","
closed
"
"
University of California, Los Angeles
","
USA
: California
","
Lecturer 
","
General Linguistics
","
05-May-2014
","
24-Apr-2014
","
closed
"
"
Teachers College, Columbia University
","
USA
: New York
","
Lecturer 
","
Applied Linguistics;
Second Language Acquisition;
English
","
(Open until filled)
","
24-Apr-2014
","
closed
"
"
Manchester Metropolitan University
","
United Kingdom
: Manchester
","
Researcher 
","
Sociolinguistics;
English
","
09-May-2014
","
24-Apr-2014
","
closed
"
"
Manchester Metropolitan University
","
United Kingdom
: Manchester
","
Associate Professor 
","
Sociolinguistics;
English
","
09-May-2014
","
24-Apr-2014
","
closed
"
"
University of Nova Gorica
","
Slovenia
: Nova Gorica
","
Post Doc 
","
Psycholinguistics;
Semantics;
Syntax;
Experimental Linguistics 
","
(Open until filled)
","
24-Apr-2014
","
closed
"
"
Nanyang Technological University
","
Singapore
","
Lecturer 
","
Applied Linguistics;
English;
German
","
15-Jul-2014
","
23-Apr-2014
","
closed
"
"
SAP
","
China
: Shanghai
","

Localization Specialist
","
Translation;
English
","
(Open until filled)
","
23-Apr-2014
","
closed
"
"
Appen Inc.
","
United Kingdom
: London (preferred)
","

Linguist
","
Phonetics;
Phonology;
Hindi
","
(Open until filled)
","
19-Apr-2014
","
closed
"
"
Penn State University
","
USA
: Pennsylvania
","
Post Doc 
","
Psycholinguistics;
Sociolinguistics;
Language Acquisition
","
(Open until filled)
","
17-Apr-2014
","
closed
"
"
The Chinese University of Hong Kong
","
Hong Kong
: Shatin
","
Instructor 
","
Applied Linguistics;
German
","
(Open until filled)
","
17-Apr-2014
","
closed
"
"
The Chinese University of Hong Kong
","
Hong Kong
: Shatin
","
Lecturer 
","
Applied Linguistics;
German
","
(Open until filled)
","
17-Apr-2014
","
closed
"
"
Xaxis Germany GmbH
","
Germany
: Karlsruhe, Baden-Württemberg
","
Consultant 
","
General Linguistics;
Semantics;
Text/Corpus Linguistics;
Czech; 
Polish;
Spanish;
Turkish
","
(Open until filled)
","
17-Apr-2014
","
closed
"
"
Penn State University
","
USA
: Pennsylvania
","
Lecturer 
","
Applied Linguistics;
Spanish
","
(Open until filled)
","
17-Apr-2014
","
closed
"
"
International Christian University
","
Japan
: Tokyo
","
Rank Open 
","
Applied Linguistics;
Japanese
","
31-Aug-2014
","
17-Apr-2014
","
closed
"
"
University of Chicago
","
USA
: Illinois
","
Researcher 
","
Pragmatics;
Psycholinguistics;
Semantics
","
(Open until filled)
","
17-Apr-2014
","
closed
"
"
University of Free State
","
South Africa
: Bloemfontein, Free State
","
Rank Open 
","
Applied Linguistics;
General Linguistics;
South African Sign Language
","
(Open until filled)
","
16-Apr-2014
","
closed
"
"
Idiap Research Institute
","
Switzerland
: Martigny
","
Post Doc 
","
Computational Linguistics;
Machine Translation
","
(Open until filled)
","
12-Apr-2014
","
closed
"
"
Università della Svizzera Italiana
","
Switzerland
: Lugano
","
Assistant Professor 
","
Discourse Analysis;
General Linguistics;
Philosophy of Language;
Pragmatics 
","
30-Apr-2014
","
12-Apr-2014
","
closed
"
"
SYSTRAN Software,Inc.
","
USA
: California
","

Research Scientist
","
Computational Linguistics
","
(Open until filled)
","
10-Apr-2014
","
closed
"
"
Dublin Institute for Advanced Studies
","
Ireland
: Dublin 4
","

Professor
","
General Linguistics;
Welsh, Middle;
Irish, Old
","
23-May-2014
","
10-Apr-2014
","
closed
"
"
Lancaster University
","
United Kingdom
: Lancaster
","
Full Professor 
","
Computational Linguistics
","
18-May-2014
","
10-Apr-2014
","
closed
"
"
University of Maryland
","
USA
: Maryland
","
Researcher 
","
Language Acquisition;
Advanced Statistical Analysis and Programming
","
(Open until filled)
","
10-Apr-2014
","
closed
"
"
Leopold-Franzens-Universität Innsbruck
","
Austria
: Innsbruck
","
Post Doc 
","
Morphology;
Translation;
Lexicography;
Terminology; 
English;
German
","
29-Apr-2014
","
08-Apr-2014
","
closed
"
"
Smithsonian Institution
","
USA
: District of Columbia
","

Curator
","
General Linguistics;
Anthropological Linguistics;
Language Sustainability and Revitalization
","
18-Apr-2014
","
08-Apr-2014
","
closed
"
"
Esprit de Corps, Corporation
","
USA
: Maryland
","

Linguist/Translator
","
Translation;
Chinese, Mandarin;
Dari
","
(Open until filled)
","
08-Apr-2014
","
closed
"
"
Google
","
United Kingdom
: London
","
Programmer 
","
Computational Linguistics;
Hindi
","
(Open until filled)
","
06-Apr-2014
","
closed
"
"
University of Saskatchewan
","
Canada
: Saskatchewan
","
Instructor 
","
Applied Linguistics;
General Linguistics;
Japanese
","
01-May-2014
","
05-Apr-2014
","
closed
"
"
The University of Edinburgh
","
United Kingdom
: Edinburgh
","
Post Doc 
","
General Linguistics;
Historical Linguistics;
Phonology;
Sociolinguistics; 
Text/Corpus Linguistics;
Scots
","
02-May-2014
","
05-Apr-2014
","
closed
"
"
Google
","
United Kingdom
: London
","

TTS Language Engineer - (2) positions, Arabic and Nordic Languages
","
Computational Linguistics;
Text to Speech;
Arabic, Standard;
Danish; 
Norwegian Bokmål;
Swedish
","
(Open until filled)
","
03-Apr-2014
","
closed
"
"
University of Illinois at Urbana-Champaign
","
USA
: Illinois
","
Visiting Professor 
Visiting Assistant Professor in Applied Linguistics/ESL (2 positions available)
","
Applied Linguistics;
Morphology;
Phonology
","
(Open until filled)
","
03-Apr-2014
","
closed
"
"
University of Illinois at Urbana-Champaign
","
USA
: Illinois
","
Assistant Professor 
Visiting Assistant Professor in Applied Linguistics/ESL (2 positions available)
","
Applied Linguistics;
Morphology;
Phonology
","
(Open until filled)
","
03-Apr-2014
","
closed
"
"
University of Illinois at Urbana-Champaign
","
USA
: Illinois
","
Assistant Professor 
","
Syntax
","
(Open until filled)
","
03-Apr-2014
","
closed
"
"
The University of Sydney
","
Australia
: Sydney
","
Assistant Professor 
","
Morphology;
Phonetics;
Phonology;
Syntax; 
Anthropological Linguistics
","
29-Apr-2014
","
03-Apr-2014
","
closed
"
"
University of Lausanne
","
Switzerland
: Lausanne, Vaud
","
Lecturer 
","
General Linguistics
","
30-Apr-2014
","
02-Apr-2014
","
closed
"
"
University of Lausanne
","
Switzerland
: Lausanne, Vaud
","
Researcher 
","
General Linguistics
","
30-Apr-2014
","
02-Apr-2014
","
closed
"
"
Universidad del Valle, Cali, Colombia
","
Colombia
: Cali
","
Rank Open 
Rank will depend on curriculum vitae
","
Applied Linguistics;
Sociolinguistics;
English
","
11-Apr-2014
","
02-Apr-2014
","
closed
"
"
American University
","
USA
: District of Columbia
","
Lecturer 
","
Applied Linguistics;
English
","
(Open until filled)
","
01-Apr-2014
","
closed
"
"
American University
","
USA
: District of Columbia
","
Instructor 
","
Applied Linguistics;
English
","
(Open until filled)
","
01-Apr-2014
","
closed
"
"
H5
","
USA
: California
","
Scientist 
","
Computational Linguistics;
Text/Corpus Linguistics;
Natural Language Processing, Machine Learning Tools
","
(Open until filled)
","
01-Apr-2014
","
closed
"
"
H5
","
USA
: California
","
Programmer 
","
Computational Linguistics;
Text/Corpus Linguistics;
Natural Language Processing, Machine Learning Tools
","
(Open until filled)
","
01-Apr-2014
","
closed
"
"
Yale University
","
USA
: Connecticut
","
Post Doc 
","
Syntax
","
(Open until filled)
","
29-Mar-2014
","
closed
"
"
Google
","
United Kingdom
: London
","
Manager 
","
Computational Linguistics;
Phonology;
Hindi
","
(Open until filled)
","
28-Mar-2014
","
closed
"
"
Google
","
United Kingdom
: London
","
Rank Open 
","
Computational Linguistics;
Phonetics;
Phonology;
Hindi 
","
(Open until filled)
","
28-Mar-2014
","
closed
"
"
University of Illinois
","
USA
","

Visiting Assistant Professor
","
Applied Linguistics;
French
","
","
28-Mar-2014
","
"
"
Ivona Software, an Amazon Company
","
Poland
: Gdynia/Gdańsk
","
Consultant 
","
Computational Linguistics;
General Linguistics;
NLP, TTS, ASR, Data Mining;
English 
","
(Open until filled)
","
28-Mar-2014
","
closed
"
"
Appen Inc.
","
----------------
","

Linguist
","
General Linguistics;
Indonesian;
Tagalog
","
(Open until filled)
","
27-Mar-2014
","
closed
"
"
University of Birmingham (UK)
","
United Kingdom
: Birmingham
","
Lecturer 
(Equivalent to Assistant Professor in US system)
","
Applied Linguistics;
Pragmatics;
Psycholinguistics;
Sociolinguistics; 
Language Acquisition;
Cognitive Linguistics, Metaphor, Languages and New Media;
English
","
24-Apr-2014
","
26-Mar-2014
","
closed
"
"
University of Birmingham
","
United Kingdom
: Birmingham
","

Teaching Fellow
","
Applied Linguistics;
Pragmatics;
Psycholinguistics;
Sociolinguistics; 
Language Acquisition;
English
","
15-Apr-2014
","
26-Mar-2014
","
closed
"
"
Ivona Software, an Amazon Company
","
Poland
: Gdynia/Gdańsk
","
Consultant 
","
Computational Linguistics;
General Linguistics;
Finnish
","
(Open until filled)
","
26-Mar-2014
","
closed
"
"
University of the West of England
","
United Kingdom
: Bristol
","
Senior Lecturer 
","
General Linguistics;
English
","
22-Apr-2014
","
26-Mar-2014
","
closed
"
"
University of the West of England
","
United Kingdom
: Bristol
","
Lecturer 
","
General Linguistics;
English
","
22-Apr-2014
","
26-Mar-2014
","
closed
"
"
University of Southern Denmark
","
Denmark
: Sonderborg
","
Associate Professor 
","
Discourse Analysis;
Pragmatics;
Text/Corpus Linguistics;
Cognitive Science 
","
15-Apr-2014
","
26-Mar-2014
","
closed
"
"
University of Oslo
","
Norway
: Oslo
","
Post Doc 
","
Computational Linguistics;
Semantics;
Syntax;
Greek, Ancient; 
Latin;
Germanic;
Romance;
Slavic 
","
11-Apr-2014
","
26-Mar-2014
","
closed
"
"
University of Maryland
","
USA
: Maryland
","

Post-Bac
","
General Linguistics;
Psycholinguistics;
Neurolinguistics;
Language Acquisition 
","
(Open until filled)
","
25-Mar-2014
","
closed
"
"
Rice University
","
USA
: Texas
","
Lecturer 
","
Phonetics;
Phonology
","
(Open until filled)
","
25-Mar-2014
","
closed
"
"
Univ. of Pennsylvania
","
USA
: Pennsylvania
","
Post Doc 
","
Phonetics;
Psycholinguistics;
Language Acquisition
","
30-Apr-2014
","
25-Mar-2014
","
closed
"
"
Judicial Council of California - Administrative Office of the Courts
","
USA
: California
","

Analyst
","
Applied Linguistics
","
14-Apr-2014
","
23-Mar-2014
","
closed
"
"
Univ. of Alabama
","
USA
: Alabama
","
Instructor 
","
Applied Linguistics;
German
","
(Open until filled)
","
23-Mar-2014
","
closed
"
"
Toyama Prefectural University
","
Japan
: Imizushi, Toyama Prefecture
","
Rank Open 
","
Applied Linguistics;
General Linguistics;
Language Pedagogy, TESL;
English 
","
02-May-2014
","
21-Mar-2014
","
closed
"
"
Lionbridge
","
Finland
: Tampere
","

Computational Linguist
","
General Linguistics;
Natural Language Processing;
Chinese, Yue
","
30-Apr-2014
","
21-Mar-2014
","
closed
"
"
Language Science Press
","
Germany
: Berlin
","

Web Programmer & Community Manager
","
General Linguistics
","
(Open until filled)
","
20-Mar-2014
","
closed
"
"
Language Science Press
","
Germany
: Berlin
","

Business Economist
","
General Linguistics
","
(Open until filled)
","
20-Mar-2014
","
closed
"
"
Language Science Press
","
Germany
: Berlin
","

Web Programmer
","
General Linguistics
","
31-Mar-2014
","
20-Mar-2014
","
closed
"
"
Tel-Aviv University
","
Israel
: Tel-Aviv
","
Lecturer 
","
Language Acquisition
","
01-May-2014
","
20-Mar-2014
","
closed
"
"
Language Science Press
","
Germany
: Berlin
","

LaTeX Expert
","
General Linguistics
","
31-Mar-2014
","
20-Mar-2014
","
closed
"
"
Western Michigan University
","
USA
: Michigan
","
Assistant Professor 
","
General Linguistics;
Spanish
","
(Open until filled)
","
20-Mar-2014
","
closed
"
"
Universidade do Vale do Rio dos Sinos - UNISINOS
","
Brazil
: Sao Leopoldo, Rio Grande do Sul
","
Assistant Professor 
","
Applied Linguistics;
Second Language Learning and Teaching
","
(Open until filled)
","
20-Mar-2014
","
closed
"
"
Johns Hopkins University
","
USA
: Maryland
","
Full Professor 
","
Computational Linguistics;
Cognitive Science
","
30-Apr-2014
","
20-Mar-2014
","
closed
"
"
University of Wolverhampton
","
United Kingdom
: Wolverhampton
","
Post Doc 
","
Computational Linguistics;
Natural Language Processing
","
16-Apr-2014
","
20-Mar-2014
","
closed
"
"
University of Potsdam, Germany
","
Germany
: Potsdam
","
Post Doc 
","
Phonetics;
Phonology
","
12-Jun-2014 
(Open until filled)
","
19-Mar-2014
","
closed
"
"
Indiana University
","
USA
: Indiana
","
Post Doc 
","
General Linguistics;
Hispanic Linguistics;
Spanish
","
(Open until filled)
","
19-Mar-2014
","
closed
"
"
University of Kent
","
United Kingdom
: Canterbury, Kent
","
Lecturer 
(equivalent to Assistant Professor)
","
Applied Linguistics;
English
","
10-Apr-2014
","
19-Mar-2014
","
closed
"
"
Nanyang Technological University
","
Singapore
: Singapore
","
Assistant Professor 
","
General Linguistics;
Chinese Linguistics, Modern Chinese Grammar/Dialectology;
Chinese, Mandarin
","
30-Apr-2014
","
19-Mar-2014
","
closed
"
"
University at Albany
","
USA
: New York
","

Visiting Assistant Professor
","
General Linguistics;
Spanish
","
(Open until filled)
","
18-Mar-2014
","
closed
"
"
Universiteit Leiden
","
Netherlands
: Leiden
","
Post Doc 
","
Psycholinguistics;
Neurolinguistics
","
01-May-2014
","
16-Mar-2014
","
closed
"
"
Ivona Software, an Amazon Company
","
Poland
: Gdynia/Gdańsk
","
Manager 
Project Manager
","
Computational Linguistics;
NLP, TTS, ASR, Data mining
","
(Open until filled)
","
15-Mar-2014
","
closed
"
"
Michigan State University
","
USA
: Michigan
","
Instructor 
","
General Linguistics;
Cognitive Science;
Language Acquisition
","
(Open until filled)
","
15-Mar-2014
","
closed
"
"
Michigan State University
","
USA
: Michigan
","
Assistant Professor 
","
General Linguistics;
Cognitive Science;
Language Acquisition
","
(Open until filled)
","
15-Mar-2014
","
closed
"
"
Brown University
","
USA
: Rhode Island
","
Senior Lecturer 
","
Applied Linguistics
","
(Open until filled)
","
15-Mar-2014
","
closed
"
"
University of Southern California
","
USA
: California
","
Lecturer 
","
General Linguistics
","
11-Apr-2014
","
15-Mar-2014
","
closed
"
"
Google, Inc.
","
USA
: New York
","

Junior Linguist
","
Computational Linguistics;
General Linguistics;
Natural Language Processing;
Russian 
","
(Open until filled)
","
14-Mar-2014
","
closed
"
"
Educational Testing Service
","
USA
: New Jersey
","
Researcher 
","
Computational Linguistics;
NLP and Speech Processing
","
11-Sep-2014
","
12-Mar-2014
","
closed
"
"
James Madison University
","
USA
: Virginia
","
Assistant Professor 
","
Applied Linguistics;
Phonetics;
Phonology;
Spanish 
","
(Open until filled)
","
12-Mar-2014
","
closed
"
"
Rutgers University
","
USA
: New Jersey
","
Post Doc 
","
Morphology;
Phonology;
Syntax
","
(Open until filled)
","
11-Mar-2014
","
closed
"
"
Emory University
","
USA
: Georgia
","
Visiting Professor 
","
Applied Linguistics;
General Linguistics;
Cognitive Science
","
31-Mar-2014
","
11-Mar-2014
","
closed
"
